Altium Designer Pick and Place Locations
C:\Users\dominikg\Dropbox\Wuerfel\FlexV1\FlexV1\Project Output\Gerber\Pick Place for FlexV1_Panel(Standard).txt

========================================================================================================================
File Design Information:

Date:       09.07.20
Time:       14:28
Revision:   5f7364683e5d64391420c13721a5f375ee604a3c
Variant:    Standard
Units used: mil

Designator Comment       Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                               
D278       "SMD LED"     TopLayer SML-D12X1                    1849.094      1981.142      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D277       "SMD LED"     TopLayer SML-D12X1                    1941.929      1981.142      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D276       "SMD LED"     TopLayer SML-D12X1                    2034.764      1981.142      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D275       "SMD LED"     TopLayer SML-D12X1                    2127.598      1981.142      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D274       "SMD LED"     TopLayer SML-D12X1                    2220.472      1981.142      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D273       "SMD LED"     TopLayer SML-D12X1                    2313.307      1981.142      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D272       "SMD LED"     TopLayer SML-D12X1                    3139.764      2073.976      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D271       "SMD LED"     TopLayer SML-D12X1                    3046.929      2073.976      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D270       "SMD LED"     TopLayer SML-D12X1                    2954.055      2073.976      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D269       "SMD LED"     TopLayer SML-D12X1                    2861.220      2073.976      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D268       "SMD LED"     TopLayer SML-D12X1                    2768.386      2073.976      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D267       "SMD LED"     TopLayer SML-D12X1                    2675.551      2073.976      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D266       "SMD LED"     TopLayer SML-D12X1                    2582.677      2073.976      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D265       "SMD LED"     TopLayer SML-D12X1                    2489.842      2073.976      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D264       "SMD LED"     TopLayer SML-D12X1                    2490.157      1061.575      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D263       "SMD LED"     TopLayer SML-D12X1                    2582.992      1061.575      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D262       "SMD LED"     TopLayer SML-D12X1                    2675.866      1061.575      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D261       "SMD LED"     TopLayer SML-D12X1                    2768.701      1061.575      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D260       "SMD LED"     TopLayer SML-D12X1                    2861.535      1061.575      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D259       "SMD LED"     TopLayer SML-D12X1                    2954.370      1061.575      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D258       "SMD LED"     TopLayer SML-D12X1                    3047.244      1061.575      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D257       "SMD LED"     TopLayer SML-D12X1                    3140.079      1061.575      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D256       "SMD LED"     TopLayer SML-D12X1                    1663.386      1888.346      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D255       "SMD LED"     TopLayer SML-D12X1                    1756.220      1888.346      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D254       "SMD LED"     TopLayer SML-D12X1                    1849.094      1888.346      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D253       "SMD LED"     TopLayer SML-D12X1                    1941.929      1888.346      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D252       "SMD LED"     TopLayer SML-D12X1                    2034.764      1888.346      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D251       "SMD LED"     TopLayer SML-D12X1                    2127.598      1888.346      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D250       "SMD LED"     TopLayer SML-D12X1                    2220.472      1888.346      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D249       "SMD LED"     TopLayer SML-D12X1                    2313.307      1888.346      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D248       "SMD LED"     TopLayer SML-D12X1                    3139.764      2166.772      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D247       "SMD LED"     TopLayer SML-D12X1                    3046.929      2166.772      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D246       "SMD LED"     TopLayer SML-D12X1                    2954.055      2166.772      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D245       "SMD LED"     TopLayer SML-D12X1                    2861.220      2166.772      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D244       "SMD LED"     TopLayer SML-D12X1                    2768.386      2166.772      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D243       "SMD LED"     TopLayer SML-D12X1                    2675.551      2166.772      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D242       "SMD LED"     TopLayer SML-D12X1                    2582.677      2166.772      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D241       "SMD LED"     TopLayer SML-D12X1                    2489.842      2166.772      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D240       "SMD LED"     TopLayer SML-D12X1                    2490.157      968.779       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D239       "SMD LED"     TopLayer SML-D12X1                    2582.992      968.779       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D238       "SMD LED"     TopLayer SML-D12X1                    2675.866      968.779       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D237       "SMD LED"     TopLayer SML-D12X1                    2768.701      968.779       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D236       "SMD LED"     TopLayer SML-D12X1                    2861.535      968.779       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D235       "SMD LED"     TopLayer SML-D12X1                    2954.370      968.779       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D234       "SMD LED"     TopLayer SML-D12X1                    3047.244      968.779       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D233       "SMD LED"     TopLayer SML-D12X1                    3140.079      968.779       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D232       "SMD LED"     TopLayer SML-D12X1                    1663.386      1795.551      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D231       "SMD LED"     TopLayer SML-D12X1                    1756.220      1795.551      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D230       "SMD LED"     TopLayer SML-D12X1                    1849.094      1795.551      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D229       "SMD LED"     TopLayer SML-D12X1                    1941.929      1795.551      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D228       "SMD LED"     TopLayer SML-D12X1                    2034.764      1795.551      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D227       "SMD LED"     TopLayer SML-D12X1                    2127.598      1795.551      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D226       "SMD LED"     TopLayer SML-D12X1                    2220.472      1795.551      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D225       "SMD LED"     TopLayer SML-D12X1                    2313.307      1795.551      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D224       "SMD LED"     TopLayer SML-D12X1                    3139.764      2259.567      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D223       "SMD LED"     TopLayer SML-D12X1                    3046.929      2259.567      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D222       "SMD LED"     TopLayer SML-D12X1                    2954.055      2259.567      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D221       "SMD LED"     TopLayer SML-D12X1                    2861.220      2259.567      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D220       "SMD LED"     TopLayer SML-D12X1                    2768.386      2259.567      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D219       "SMD LED"     TopLayer SML-D12X1                    2675.551      2259.567      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D218       "SMD LED"     TopLayer SML-D12X1                    2582.677      2259.567      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D217       "SMD LED"     TopLayer SML-D12X1                    2489.842      2259.567      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D216       "SMD LED"     TopLayer SML-D12X1                    2490.157      875.984       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D215       "SMD LED"     TopLayer SML-D12X1                    2582.992      875.984       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D214       "SMD LED"     TopLayer SML-D12X1                    2675.866      875.984       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D213       "SMD LED"     TopLayer SML-D12X1                    2768.701      875.984       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D212       "SMD LED"     TopLayer SML-D12X1                    2861.535      875.984       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D211       "SMD LED"     TopLayer SML-D12X1                    2954.370      875.984       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D210       "SMD LED"     TopLayer SML-D12X1                    3047.244      875.984       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D209       "SMD LED"     TopLayer SML-D12X1                    3140.079      875.984       225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D208       "SMD LED"     TopLayer SML-D12X1                    1663.386      1702.756      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D207       "SMD LED"     TopLayer SML-D12X1                    1756.220      1702.756      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D206       "SMD LED"     TopLayer SML-D12X1                    1849.094      1702.756      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D205       "SMD LED"     TopLayer SML-D12X1                    1941.929      1702.756      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D204       "SMD LED"     TopLayer SML-D12X1                    2034.764      1702.756      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D203       "SMD LED"     TopLayer SML-D12X1                    2127.598      1702.756      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D202       "SMD LED"     TopLayer SML-D12X1                    2220.472      1702.756      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D201       "SMD LED"     TopLayer SML-D12X1                    2313.307      1702.756      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D200       "SMD LED"     TopLayer SML-D12X1                    3139.764      2352.362      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D199       "SMD LED"     TopLayer SML-D12X1                    3046.929      2352.362      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D198       "SMD LED"     TopLayer SML-D12X1                    2954.055      2352.362      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D197       "SMD LED"     TopLayer SML-D12X1                    2861.220      2352.362      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D196       "SMD LED"     TopLayer SML-D12X1                    2768.386      2352.362      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D195       "SMD LED"     TopLayer SML-D12X1                    2675.551      2352.362      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D194       "SMD LED"     TopLayer SML-D12X1                    2582.677      2352.362      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D193       "SMD LED"     TopLayer SML-D12X1                    2489.842      2352.362      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D192       "SMD LED"     TopLayer SML-D12X1                    2312.992      2529.528      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D191       "SMD LED"     TopLayer SML-D12X1                    2220.000      2529.528      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D190       "SMD LED"     TopLayer SML-D12X1                    2127.047      2529.528      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D189       "SMD LED"     TopLayer SML-D12X1                    2034.055      2529.528      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D188       "SMD LED"     TopLayer SML-D12X1                    1941.102      2529.528      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D187       "SMD LED"     TopLayer SML-D12X1                    1848.149      2529.528      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D186       "SMD LED"     TopLayer SML-D12X1                    1755.157      2529.528      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D185       "SMD LED"     TopLayer SML-D12X1                    1663.071      2529.528      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D184       "SMD LED"     TopLayer SML-D12X1                    836.614       3179.134      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D183       "SMD LED"     TopLayer SML-D12X1                    929.606       3179.134      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D182       "SMD LED"     TopLayer SML-D12X1                    1022.559      3179.134      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D181       "SMD LED"     TopLayer SML-D12X1                    1115.551      3179.134      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D180       "SMD LED"     TopLayer SML-D12X1                    1208.504      3179.134      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D179       "SMD LED"     TopLayer SML-D12X1                    1301.457      3179.134      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D178       "SMD LED"     TopLayer SML-D12X1                    1394.449      3179.134      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D177       "SMD LED"     TopLayer SML-D12X1                    1486.535      3179.134      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D176       "SMD LED"     TopLayer SML-D12X1                    1486.535      3356.299      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D175       "SMD LED"     TopLayer SML-D12X1                    1393.543      3356.299      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D174       "SMD LED"     TopLayer SML-D12X1                    1300.591      3356.299      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D173       "SMD LED"     TopLayer SML-D12X1                    1207.598      3356.299      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D172       "SMD LED"     TopLayer SML-D12X1                    1114.646      3356.299      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D171       "SMD LED"     TopLayer SML-D12X1                    1021.693      3356.299      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D170       "SMD LED"     TopLayer SML-D12X1                    928.701       3356.299      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D169       "SMD LED"     TopLayer SML-D12X1                    836.614       3356.299      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D168       "SMD LED"     TopLayer SML-D12X1                    2312.992      2622.323      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D167       "SMD LED"     TopLayer SML-D12X1                    2220.157      2622.323      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D166       "SMD LED"     TopLayer SML-D12X1                    2127.283      2622.323      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D165       "SMD LED"     TopLayer SML-D12X1                    2034.449      2622.323      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D164       "SMD LED"     TopLayer SML-D12X1                    1941.614      2622.323      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D163       "SMD LED"     TopLayer SML-D12X1                    1848.780      2622.323      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D162       "SMD LED"     TopLayer SML-D12X1                    1755.905      2622.323      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D161       "SMD LED"     TopLayer SML-D12X1                    1663.071      2622.323      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D160       "SMD LED"     TopLayer SML-D12X1                    836.614       3086.339      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D159       "SMD LED"     TopLayer SML-D12X1                    929.449       3086.339      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D158       "SMD LED"     TopLayer SML-D12X1                    1022.323      3086.339      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D157       "SMD LED"     TopLayer SML-D12X1                    1115.157      3086.339      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D156       "SMD LED"     TopLayer SML-D12X1                    1207.992      3086.339      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D155       "SMD LED"     TopLayer SML-D12X1                    1300.827      3086.339      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D154       "SMD LED"     TopLayer SML-D12X1                    1393.701      3086.339      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D153       "SMD LED"     TopLayer SML-D12X1                    1486.535      3086.339      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D152       "SMD LED"     TopLayer SML-D12X1                    1486.535      3449.095      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D151       "SMD LED"     TopLayer SML-D12X1                    1393.701      3449.095      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D150       "SMD LED"     TopLayer SML-D12X1                    1300.827      3449.095      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D149       "SMD LED"     TopLayer SML-D12X1                    1207.992      3449.095      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D148       "SMD LED"     TopLayer SML-D12X1                    1115.157      3449.095      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D147       "SMD LED"     TopLayer SML-D12X1                    1022.323      3449.095      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D146       "SMD LED"     TopLayer SML-D12X1                    929.449       3449.095      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D145       "SMD LED"     TopLayer SML-D12X1                    836.614       3449.095      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D144       "SMD LED"     TopLayer SML-D12X1                    2312.992      2715.118      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D143       "SMD LED"     TopLayer SML-D12X1                    2220.157      2715.118      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D142       "SMD LED"     TopLayer SML-D12X1                    2127.283      2715.118      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D141       "SMD LED"     TopLayer SML-D12X1                    2034.449      2715.118      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D140       "SMD LED"     TopLayer SML-D12X1                    1941.614      2715.118      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D139       "SMD LED"     TopLayer SML-D12X1                    1848.780      2715.118      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D138       "SMD LED"     TopLayer SML-D12X1                    1755.905      2715.118      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D137       "SMD LED"     TopLayer SML-D12X1                    1663.071      2715.118      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D136       "SMD LED"     TopLayer SML-D12X1                    836.614       2993.543      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D135       "SMD LED"     TopLayer SML-D12X1                    929.449       2993.543      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D134       "SMD LED"     TopLayer SML-D12X1                    1022.323      2993.543      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D133       "SMD LED"     TopLayer SML-D12X1                    1115.157      2993.543      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D132       "SMD LED"     TopLayer SML-D12X1                    1207.992      2993.543      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D131       "SMD LED"     TopLayer SML-D12X1                    1300.827      2993.543      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D130       "SMD LED"     TopLayer SML-D12X1                    1393.701      2993.543      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D129       "SMD LED"     TopLayer SML-D12X1                    1486.535      2993.543      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D128       "SMD LED"     TopLayer SML-D12X1                    1486.535      3541.890      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D127       "SMD LED"     TopLayer SML-D12X1                    1393.701      3541.890      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D126       "SMD LED"     TopLayer SML-D12X1                    1300.827      3541.890      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D125       "SMD LED"     TopLayer SML-D12X1                    1207.992      3541.890      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D124       "SMD LED"     TopLayer SML-D12X1                    1115.157      3541.890      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D123       "SMD LED"     TopLayer SML-D12X1                    1022.323      3541.890      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D122       "SMD LED"     TopLayer SML-D12X1                    929.449       3541.890      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D121       "SMD LED"     TopLayer SML-D12X1                    836.614       3541.890      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D120       "SMD LED"     TopLayer SML-D12X1                    2312.992      2807.913      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D119       "SMD LED"     TopLayer SML-D12X1                    2220.157      2807.913      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D118       "SMD LED"     TopLayer SML-D12X1                    2127.283      2807.913      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D117       "SMD LED"     TopLayer SML-D12X1                    2034.449      2807.913      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D116       "SMD LED"     TopLayer SML-D12X1                    1941.614      2807.913      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D115       "SMD LED"     TopLayer SML-D12X1                    1848.780      2807.913      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D114       "SMD LED"     TopLayer SML-D12X1                    1755.905      2807.913      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D113       "SMD LED"     TopLayer SML-D12X1                    1663.071      2807.913      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D112       "SMD LED"     TopLayer SML-D12X1                    836.614       2900.748      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D111       "SMD LED"     TopLayer SML-D12X1                    929.449       2900.748      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D110       "SMD LED"     TopLayer SML-D12X1                    1022.323      2900.748      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D109       "SMD LED"     TopLayer SML-D12X1                    1115.157      2900.748      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D108       "SMD LED"     TopLayer SML-D12X1                    1207.992      2900.748      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D107       "SMD LED"     TopLayer SML-D12X1                    1300.827      2900.748      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D106       "SMD LED"     TopLayer SML-D12X1                    1393.701      2900.748      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D105       "SMD LED"     TopLayer SML-D12X1                    1486.535      2900.748      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D104       "SMD LED"     TopLayer SML-D12X1                    1486.535      3634.685      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D103       "SMD LED"     TopLayer SML-D12X1                    1393.701      3634.685      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D102       "SMD LED"     TopLayer SML-D12X1                    1300.827      3634.685      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D101       "SMD LED"     TopLayer SML-D12X1                    1207.992      3634.685      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D100       "SMD LED"     TopLayer SML-D12X1                    1115.157      3634.685      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D99        "SMD LED"     TopLayer SML-D12X1                    1022.323      3634.685      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D98        "SMD LED"     TopLayer SML-D12X1                    929.449       3634.685      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D97        "SMD LED"     TopLayer SML-D12X1                    836.614       3634.685      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D96        "SMD LED"     TopLayer SML-D12X1                    2312.992      2900.748      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D95        "SMD LED"     TopLayer SML-D12X1                    2220.157      2900.748      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D94        "SMD LED"     TopLayer SML-D12X1                    2127.283      2900.748      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D93        "SMD LED"     TopLayer SML-D12X1                    2034.449      2900.748      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D92        "SMD LED"     TopLayer SML-D12X1                    1941.614      2900.748      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D91        "SMD LED"     TopLayer SML-D12X1                    1848.780      2900.748      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D90        "SMD LED"     TopLayer SML-D12X1                    1755.905      2900.748      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D89        "SMD LED"     TopLayer SML-D12X1                    1663.071      2900.748      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D88        "SMD LED"     TopLayer SML-D12X1                    836.614       2807.913      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D87        "SMD LED"     TopLayer SML-D12X1                    929.449       2807.913      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D86        "SMD LED"     TopLayer SML-D12X1                    1022.323      2807.913      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D85        "SMD LED"     TopLayer SML-D12X1                    1115.157      2807.913      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D84        "SMD LED"     TopLayer SML-D12X1                    1207.992      2807.913      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D83        "SMD LED"     TopLayer SML-D12X1                    1300.827      2807.913      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D82        "SMD LED"     TopLayer SML-D12X1                    1393.701      2807.913      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D81        "SMD LED"     TopLayer SML-D12X1                    1486.535      2807.913      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
D80        "SMD LED"     TopLayer SML-D12X1                    1486.535      3727.520      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D79        "SMD LED"     TopLayer SML-D12X1                    1393.701      3727.520      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D78        "SMD LED"     TopLayer SML-D12X1                    1300.827      3727.520      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D77        "SMD LED"     TopLayer SML-D12X1                    1207.992      3727.520      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D76        "SMD LED"     TopLayer SML-D12X1                    1115.157      3727.520      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D75        "SMD LED"     TopLayer SML-D12X1                    1022.323      3727.520      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D74        "SMD LED"     TopLayer SML-D12X1                    929.449       3727.520      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D73        "SMD LED"     TopLayer SML-D12X1                    836.614       3727.520      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D72        "SMD LED"     TopLayer SML-D12X1                    2312.992      2993.543      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D71        "SMD LED"     TopLayer SML-D12X1                    2220.157      2993.543      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D70        "SMD LED"     TopLayer SML-D12X1                    2127.283      2993.543      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D69        "SMD LED"     TopLayer SML-D12X1                    2034.449      2993.543      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D68        "SMD LED"     TopLayer SML-D12X1                    1941.614      2993.543      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
D67        "SMD LED"     TopLayer SML-D12X1                    1848.780      2993.543      45       "LED RED DIFFUSED 1608 SMD"                                                                                                               
